R1-PINH,157.25,-24.23,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R10,47.57,-6.49,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_BAT,119.16,20.25,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_PINH1,87.61,37.29,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_PWRUSB,115.32,10.74,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2,65.17,-11.29,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-PINH,158.46,-24.23,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-PINH1,95.27,33.99,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-USB,150.09,21.73,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-USB1,157.13,23.17,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2_BAT,122.90,16.83,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R3,70.02,-6.07,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_C0402
R4,67.33,-12.39,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R5,46.75,21.41,90.60,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R6,9.37,72.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R7,45.99,-6.49,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R8,41.41,-6.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R9,75.13,-1.99,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
RESET_BUTTON,24.06,80.06,180.00,BUTTON_CUSYOMV11,MYBUTTON
R_BOOT,45.87,79.97,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CAPACITOR,94.92,26.44,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CHANGE,60.93,79.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CL1,76.97,-2.07,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_RESET,21.03,79.89,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
SENSOR2,157.45,-17.48,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.86,-13.21,0.00,,SJ
TP1,3.11,38.29,0.00,TP1,TP20R
TP10,38.32,-24.99,0.00,TP1,TP20R
TP11,3.49,-7.51,0.00,TP1,TP20R
TP12,103.29,-4.69,0.00,TP1,TP20R
TP13,103.22,-0.79,0.00,TP1,TP20R
TP14,117.07,35.91,0.00,TP1,TP20R
TP15,3.52,4.01,0.00,TP1,TP20R
TP16,88.89,41.79,0.00,TP1,TP20R
TP17,74.04,-20.91,0.00,TP1,TP20R
TP2,6.83,38.19,0.00,TP1,TP20R
TP3,129.95,35.79,0.00,TP1,TP20R
TP4,101.77,36.09,0.00,TP1,TP20R
TP5,3.39,-13.21,0.00,TP1,TP20R
TP6,22.61,38.39,0.00,TP1,TP20R
TP7,43.33,-25.01,0.00,TP1,TP20R
TP8,3.65,-1.01,0.00,TP1,TP20R
TP9,3.37,-19.31,0.00,TP1,TP20R
U1,51.09,28.06,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.30,25.74,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.85,29.00,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,138.77,23.52,0.00,MAX17048G+T10,SON50P200X200X80-9N
